Area,Room,Parking,Warehouse,Elevator,Address,Address_Type,Price_Dollar
63,1,TRUE,TRUE,TRUE,Shahran,1,61666.67
60,1,TRUE,TRUE,TRUE,Shahran,1,61666.67
79,2,TRUE,TRUE,TRUE,Pardis,2,18333.33
95,2,TRUE,TRUE,TRUE,Shahrake Qods,3,30083.33
123,2,TRUE,TRUE,TRUE,Shahrake Gharb,4,233333.33
70,2,TRUE,TRUE,FALSE,North Program Organization,5,68333.33
87,2,TRUE,TRUE,TRUE,Pardis,2,20000
59,1,TRUE,TRUE,TRUE,Shahran,1,71666.67
54,2,TRUE,TRUE,FALSE,Andisheh,6,16433.33
64,1,TRUE,TRUE,TRUE,Narmak,8,70000
54,1,FALSE,TRUE,TRUE,Narmak,8,56333.33
136,3,TRUE,TRUE,TRUE,Saadat Abad,9,366666.67
95,2,TRUE,TRUE,TRUE,Zafar,10,166666.67
63,1,FALSE,TRUE,FALSE,Islamshahr,11,19000
155,3,TRUE,TRUE,TRUE,Narmak,8,223333.33
64,2,FALSE,TRUE,FALSE,Pirouzi,12,48333.33
42,1,FALSE,TRUE,FALSE,Pirouzi,12,46333.33
93,2,TRUE,TRUE,TRUE,Shahrake Gharb,4,233333.33
87,2,TRUE,TRUE,TRUE,Shahrake Shahid Bagheri,15,83333.33
65,1,TRUE,TRUE,TRUE,Shahran,1,62666.67
99,2,TRUE,TRUE,TRUE,Moniriyeh,16,75900
105,2,TRUE,TRUE,TRUE,Saadat Abad,9,238333.33
160,3,TRUE,TRUE,TRUE,Velenjak,17,498166.67
77,2,TRUE,TRUE,TRUE,Amirieh,18,59033.33
123,2,TRUE,TRUE,TRUE,Pirouzi,12,135300
110,2,TRUE,TRUE,TRUE,Southern Janatabad,19,21000
90,2,FALSE,TRUE,FALSE,Salsabil,20,50000
96,2,TRUE,TRUE,TRUE,Zargandeh,21,262400
67,2,TRUE,TRUE,FALSE,Feiz Garden,22,78333.33
62,1,TRUE,FALSE,TRUE,Water Organization,23,71666.67
58,1,TRUE,TRUE,TRUE,Saadat Abad,9,113333.33
55,1,TRUE,TRUE,TRUE,Saadat Abad,9,128333.33
150,2,FALSE,TRUE,TRUE,Shahrake Qods,3,40000
130,3,TRUE,TRUE,FALSE,ShahrAra,24,166666.67
88,2,TRUE,TRUE,TRUE,Gisha,25,158333.33
51,1,TRUE,TRUE,TRUE,Gisha,25,99333.33
113,3,TRUE,TRUE,FALSE,Shahrake Gharb,4,233333.33
110,2,TRUE,TRUE,TRUE,Ray,26,67833.33
60,1,TRUE,TRUE,TRUE,Abbasabad,27,82000
98,2,TRUE,TRUE,TRUE,Pardis,2,18000
62,2,FALSE,FALSE,TRUE,Ostad Moein,28,48333.33
150,3,TRUE,TRUE,TRUE,Farmanieh,29,333333.33
75,2,FALSE,FALSE,FALSE,Parand,30,21166.67
61,1,TRUE,TRUE,FALSE,Punak,31,67666.67
61,1,TRUE,TRUE,FALSE,Punak,31,67666.67
72,2,TRUE,TRUE,TRUE,Shahran,1,78333.33
100,2,TRUE,TRUE,TRUE,Qasr-od-Dasht,32,100000
122,3,TRUE,TRUE,TRUE,Aqdasieh,33,240000
215,3,TRUE,TRUE,TRUE,Pakdasht,34,58333.33
101,2,TRUE,TRUE,TRUE,Railway,35,110000
67,2,TRUE,TRUE,TRUE,Punak,31,93333.33
72,2,TRUE,TRUE,FALSE,Punak,31,73333.33
63,1,TRUE,TRUE,FALSE,Punak,31,73333.33
75,2,TRUE,TRUE,FALSE,Punak,31,73333.33
109,2,TRUE,TRUE,TRUE,Shahran,1,116666.67
122,2,TRUE,TRUE,TRUE,Aqdasieh,33,233333.33
70,1,TRUE,TRUE,TRUE,Central Janatabad,36,103333.33
53,1,TRUE,TRUE,FALSE,East Ferdows Boulevard,37,64000
90,1,FALSE,TRUE,FALSE,Pakdasht,1300,28333.33
72,2,TRUE,TRUE,TRUE,Amirieh,18,55000
74,2,TRUE,TRUE,TRUE,Amirieh,18,56666.67
88,3,FALSE,FALSE,TRUE,Parand,30,18666.67
63,1,TRUE,TRUE,TRUE,Punak,31,71666.67
114,3,TRUE,TRUE,TRUE,Sattarkhan,38,183333.33
151,3,TRUE,TRUE,TRUE,Saadat Abad,9,340000
42,1,TRUE,FALSE,TRUE,Shahran,1,58666.67
74,2,TRUE,TRUE,TRUE,Amirieh,18,56666.67
88,3,FALSE,FALSE,TRUE,Parand,30,18666.67
63,1,TRUE,TRUE,TRUE,Punak,31,71666.67
114,3,TRUE,TRUE,TRUE,Sattarkhan,38,183333.33
151,3,TRUE,TRUE,TRUE,Saadat Abad,9,340000
42,1,TRUE,FALSE,TRUE,Shahran,1,58666.67
300,3,TRUE,TRUE,FALSE,Baghestan,39,50000
100,2,FALSE,FALSE,FALSE,Shahrake Qods,3,20666.67
140,1,FALSE,FALSE,FALSE,Shahryar,40,19333.33
70,2,TRUE,TRUE,TRUE,Northern Janatabad,41,101666.67
76,2,TRUE,TRUE,TRUE,North Program Organization,5,86666.67
148,3,TRUE,TRUE,TRUE,Daryan No,42,199666.67
75,2,TRUE,TRUE,TRUE,North Program Organization,5,76666.67
40,1,TRUE,TRUE,FALSE,Pirouzi,12,43333.33
65,2,TRUE,TRUE,TRUE,Southern Program Organization,43,75666.67
140,3,TRUE,TRUE,TRUE,Rudhen,44,133333.33
110,2,TRUE,TRUE,TRUE,West Pars,45,133333.33
70,2,TRUE,FALSE,TRUE,Afsarieh,46,55000
128,3,TRUE,TRUE,TRUE,Marzdaran,47,223333.33
94,2,TRUE,TRUE,TRUE,Parand,30,19333.33
67,1,TRUE,TRUE,TRUE,Punak,31,76666.67
75,1,TRUE,TRUE,TRUE,Shahrake Qods,3,21666.67
130,2,TRUE,TRUE,TRUE,Dorous,48,563333.33
40,0,FALSE,FALSE,FALSE,Shahrake Qods,3,8266.67
97,2,TRUE,TRUE,TRUE,Pardis,2,17000
110,2,TRUE,TRUE,TRUE,Shahran,1,128333.33
150,3,TRUE,TRUE,TRUE,Sadeghieh,49,200000
75,2,FALSE,FALSE,FALSE,Chahardangeh,50,26000
137,3,TRUE,TRUE,TRUE,ShahrAra,24,240000
85,2,TRUE,TRUE,TRUE,Parand,30,13666.67
68,2,FALSE,TRUE,FALSE,Pakdasht,34,14333.33
78,2,FALSE,TRUE,FALSE,Baqershahr,51,26666.67
85,2,TRUE,TRUE,TRUE,Parand,30,18166.67
100,2,TRUE,TRUE,FALSE,Parand,30,42666.67
71,2,TRUE,TRUE,TRUE,Punak,31,93333.33
140,3,TRUE,TRUE,TRUE,Gisha,25,373333.33
136,3,TRUE,TRUE,FALSE,Parand,30,25000
48,1,FALSE,FALSE,FALSE,Jeyhoon,700,28333.33
100,2,TRUE,TRUE,TRUE,Lavizan,53,110000
82,2,TRUE,FALSE,TRUE,Shams Abad,54,109333.33
120,3,TRUE,TRUE,TRUE,Fatemi,55,160000
139,3,TRUE,TRUE,TRUE,Gisha,25,243333.33
110,3,TRUE,TRUE,TRUE,Keshavarz Boulevard,56,131666.67
78,2,FALSE,FALSE,TRUE,Parand,30,12333.33
79,2,FALSE,FALSE,FALSE,Baghestan,39,25000
66,2,TRUE,TRUE,TRUE,Salsabil,20,57500
78,2,TRUE,TRUE,TRUE,Kahrizak,57,26000
85,2,TRUE,TRUE,TRUE,Shahryar,40,47300
100,2,TRUE,TRUE,FALSE,Qarchak,58,40000
80,2,TRUE,TRUE,TRUE,Northren Jamalzadeh,59,120000
44,1,TRUE,TRUE,FALSE,Salsabil,20,35000
120,2,TRUE,TRUE,FALSE,Shahryar,40,40000
50,1,FALSE,TRUE,FALSE,Shahrake Qods,3,11333.33
121,3,TRUE,TRUE,FALSE,Ostad Moein,28,110000
80,2,TRUE,TRUE,TRUE,Azarbaijan,60,93333.33
70,2,FALSE,TRUE,TRUE,Bahar,61,40000
160,1,FALSE,FALSE,FALSE,Qarchak,58,120
40,0,FALSE,FALSE,FALSE,Pakdasht,34,5500
88,2,TRUE,TRUE,TRUE,Railway,35,95333.33
141,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,62,127000
140,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,62,59666.67
120,2,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,62,51000
66,2,FALSE,TRUE,FALSE,Beryanak,63,33333.33
70,2,TRUE,TRUE,TRUE,Punak,31,116666.67
75,2,TRUE,FALSE,TRUE,Heshmatieh,64,100000
70,2,FALSE,TRUE,TRUE,Elm-o-Sanat,65,60000
150,3,TRUE,TRUE,TRUE,Saadat Abad,9,666666.67
95,2,TRUE,TRUE,TRUE,Golestan,66,31666.67
127,2,TRUE,TRUE,TRUE,Southern Janatabad,19,200000
123,3,TRUE,TRUE,TRUE,Shahr-e-Ziba,67,123333.33
63,2,TRUE,TRUE,TRUE,Southern Janatabad,19,66666.67
90,2,TRUE,TRUE,TRUE,Punak,31,101666.67
105,2,TRUE,TRUE,TRUE,Pardis,2,20166.67
180,3,TRUE,TRUE,TRUE,Pasdaran,68,330000
120,3,TRUE,FALSE,TRUE,Pirouzi,12,123333.33
65,2,TRUE,TRUE,TRUE,Feiz Garden,22,83333.33
158,3,TRUE,TRUE,TRUE,Farmanieh,29,349333.33
144,3,TRUE,TRUE,TRUE,Chardivari,69,254400
144,3,TRUE,TRUE,TRUE,Punak,31,254400
130,3,TRUE,TRUE,TRUE,Gheitarieh,70,410000
245,3,TRUE,TRUE,TRUE,Farmanieh,29,898333.33
190,3,TRUE,TRUE,TRUE,Kamranieh,71,810000
63,2,TRUE,TRUE,TRUE,Central Janatabad,36,100000
75,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,37,70000
88,2,TRUE,FALSE,TRUE,Gholhak,72,156666.67
108,2,TRUE,TRUE,TRUE,Pasdaran,68,306000
117,2,TRUE,TRUE,TRUE,Islamshahr,11,52650
200,3,TRUE,TRUE,TRUE,Pasdaran,68,400000
65,1,TRUE,TRUE,FALSE,Pirouzi,12,58333.33
90,2,TRUE,TRUE,TRUE,Central Janatabad,36,126000
125,2,TRUE,TRUE,TRUE,Heravi,73,270000
140,3,TRUE,TRUE,TRUE,Heravi,73,303333.33
71,2,FALSE,TRUE,TRUE,Hashemi,74,51666.67
